ID,Pension personal,Pension corporativa,Fondo inversión,Fondo inversión (extra),Acciones,Activos renta fija,Criptomonedas,Criptomonedas (extra),Hipoteca_actual,Hipoteca_adquirida_2y,Prestamo_personal_actual,Prestamo_personal_adquirido_2y,Tarjeta_credito_adquirida_2y,Descubierto_autorizado,Tarjeta_credito_para_efectivo,Hipoteca_flexible,Prestamo_contra_fondo_pension,Microcredito,Payday_loan,Empeño_en_casa_de_empeño,Ayuda_familia_comunidad,Prestamo_familia_comunidad
135,-98,-98,0,0,-98,-98,-98,-98,-98,-98,-98,-98,1,0,0,0,0,0,0,0,0,0
136,0,0,0,0,0,-98,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
137,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
138,0,0,0,0,-98,1,0,0,1,1,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
139,0,0,0,0,-98,-98,0,0,0,0,-98,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
140,-98,0,0,0,-98,-98,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
141,0,0,0,0,0,-98,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
142,0,0,0,0,0,-98,0,0,0,0,-98,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
143,0,0,0,0,0,0,0,0,0,0,1,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
144,0,0,0,0,0,0,0,0,1,1,1,1,1,-98,-98,-98,-98,-98,-98,-98,-98,-98
145,0,0,0,0,0,0,1,1,1,0,0,0,1,-98,-98,-98,-98,-98,-98,-98,-98,-98
146,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
147,0,-98,0,0,-98,0,-98,-98,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
148,1,-98,-98,-98,-98,-98,0,0,1,0,1,1,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
149,1,1,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
151,-98,0,0,0,0,-98,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
152,0,1,1,1,0,0,0,0,0,0,0,0,1,-98,-98,-98,-98,-98,-98,-98,-98,-98
153,0,0,0,0,-98,-98,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
154,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
155,1,0,0,0,0,-98,0,0,1,0,0,1,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
156,-98,0,0,0,0,-98,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
157,0,0,0,0,0,0,0,0,0,0,1,1,1,-98,-98,-98,-98,-98,-98,-98,-98,-98
158,0,0,0,0,-98,1,0,0,1,0,1,0,1,-98,-98,-98,-98,-98,-98,-98,-98,-98
159,0,0,1,0,-98,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
160,1,-98,-98,-98,-98,-98,0,0,0,0,0,0,1,-98,-98,-98,-98,-98,-98,-98,-98,-98
161,0,1,0,0,-98,1,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
162,0,0,0,0,0,1,0,0,1,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
163,1,1,1,1,-98,1,0,0,1,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
164,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
165,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
166,0,0,0,0,0,0,0,0,1,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
167,-98,0,-98,-98,-98,-98,0,0,1,0,1,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
168,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
